ID_VENTE,ID_ARTICLE,ID_CLIENT,ID_ESTABLISSEMENT,LIBELLE_VENTE,PRIX_VENTE,DEVISE_VENTE,DATE_VENTE
24,ML1512            00800D         X,SC000019,1,Polo Femme  Taille 46  Coloris Baltique,193.75,EUR,05-02-2015 02:36
26,ML1512            00900D         X,SC000019,1,Polo Femme  Taille 48  Coloris Baltique,96.88,EUR,22-03-2011 00:31
28,ML1812            002007         X,SC000019,1,Polo Enfant  Taille 04 ans  Coloris Acidul??,58.6,EUR,16-12-2007 15:23
31,501122            003005         X,SC000105,999,Tunique boutonn??e  Taille 36  Couleur 777A07,14.99,EUR,18-11-2017 10:46
34,CHEM01            003001         X,SC000894,101,Chemise Twill  Taille S  Coloris Blanc,23.44,EUR,14-11-2013 23:48
35,CHEM01            003003         X,SC000894,101,Chemise Twill  Taille S  Coloris Noir,46.88,EUR,28-10-2014 08:29
36,CHEM01            003005         X,SC000894,101,Chemise Twill  Taille S  Coloris Bleu ciel,70.32,EUR,30-04-2014 07:10
37,CHEM01            004001         X,SC000894,101,Chemise Twill  Taille M  Coloris Blanc,46.88,EUR,07-01-2018 17:52
38,CHEM01            004003         X,SC000894,101,Chemise Twill  Taille M  Coloris Noir,23.44,EUR,01-09-2011 17:39
39,CHEM01            004005         X,SC000894,101,Chemise Twill  Taille M  Coloris Bleu ciel,46.88,EUR,01-02-2009 01:37
40,CHEM01            005001         X,SC000894,101,Chemise Twill  Taille L  Coloris Blanc,46.88,EUR,30-01-2010 21:17
41,CHEM01            006001         X,SC000894,101,Chemise Twill  Taille XL  Coloris Blanc,23.44,EUR,14-06-2019 07:29
42,CHEM01            006003         X,SC000894,101,Chemise Twill  Taille XL  Coloris Noir,46.88,EUR,31-03-2011 11:28
43,CHEM01            006005         X,SC000894,101,Chemise Twill  Taille XL  Coloris Bleu ciel,23.44,EUR,30-09-2013 12:11
45,ML1212            003001         X,SC000904,101,Polo Homme  Taille 3  Coloris Blanc,275.08,EUR,20-06-2010 15:59
46,ML1212            00300Q         X,SC000904,101,Polo Homme  Taille 3  Coloris Chaudronnier,275.08,EUR,07-03-2019 01:04
47,ML1212            004001         X,SC000904,101,Polo Homme  Taille 4  Coloris Blanc,165.05,EUR,01-09-2016 07:19
48,ML1212            00400Q         X,SC000904,101,Polo Homme  Taille 4  Coloris Chaudronnier,165.05,EUR,08-09-2018 05:59
49,ML1212            005001         X,SC000904,101,Polo Homme  Taille 5  Coloris Blanc,110.03,EUR,09-03-2011 16:18
50,ML1212            00500Q         X,SC000904,101,Polo Homme  Taille 5  Coloris Chaudronnier,110.03,EUR,26-12-2015 02:02
55,CHEM01            003001         X,SC000897,102,Chemise Twill  Taille S  Coloris Blanc,93.77,EUR,17-11-2017 11:06
56,CHEM01            003003         X,SC000897,102,Chemise Twill  Taille S  Coloris Noir,93.77,EUR,30-09-2009 15:44
57,CHEM01            003005         X,SC000897,102,Chemise Twill  Taille S  Coloris Bleu ciel,93.77,EUR,18-02-2009 00:05
58,CHEM01            004001         X,SC000897,102,Chemise Twill  Taille M  Coloris Blanc,93.77,EUR,11-01-2018 23:28
59,CHEM01            004003         X,SC000897,102,Chemise Twill  Taille M  Coloris Noir,93.77,EUR,03-07-2019 06:50
60,CHEM01            004005         X,SC000897,102,Chemise Twill  Taille M  Coloris Bleu ciel,93.77,EUR,13-03-2020 18:10
61,CHEM01            005001         X,SC000897,102,Chemise Twill  Taille L  Coloris Blanc,93.77,EUR,25-03-2011 22:18
62,CHEM01            005003         X,SC000897,102,Chemise Twill  Taille L  Coloris Noir,93.77,EUR,16-08-2007 08:48
63,CHEM01            005005         X,SC000897,102,Chemise Twill  Taille L  Coloris Bleu ciel,93.77,EUR,05-01-2020 19:42
64,CHEM01            006001         X,SC000897,102,Chemise Twill  Taille XL  Coloris Blanc,93.77,EUR,05-07-2018 11:22
65,CHEM01            006003         X,SC000897,102,Chemise Twill  Taille XL  Coloris Noir,93.77,EUR,08-03-2017 11:01
66,CHEM01            006005         X,SC000897,102,Chemise Twill  Taille XL  Coloris Bleu ciel,93.77,EUR,09-10-2007 08:10
68,CHEM01            003001         X,SC000899,103,Chemise Twill  Taille S  Coloris Blanc,46.88,EUR,28-12-2018 13:42
69,CHEM01            003003         X,SC000899,103,Chemise Twill  Taille S  Coloris Noir,46.88,EUR,27-12-2016 23:05
70,CHEM01            003005         X,SC000899,103,Chemise Twill  Taille S  Coloris Bleu ciel,46.88,EUR,25-06-2016 20:56
71,CHEM01            004001         X,SC000899,103,Chemise Twill  Taille M  Coloris Blanc,46.88,EUR,01-01-2011 15:47
72,CHEM01            004003         X,SC000899,103,Chemise Twill  Taille M  Coloris Noir,46.88,EUR,17-06-2015 06:09
73,CHEM01            004005         X,SC000899,103,Chemise Twill  Taille M  Coloris Bleu ciel,46.88,EUR,29-06-2009 20:45
74,CHEM01            005001         X,SC000899,103,Chemise Twill  Taille L  Coloris Blanc,46.88,EUR,08-06-2016 03:16
75,CHEM01            005003         X,SC000899,103,Chemise Twill  Taille L  Coloris Noir,46.88,EUR,27-11-2015 01:33
76,CHEM01            005005         X,SC000899,103,Chemise Twill  Taille L  Coloris Bleu ciel,46.88,EUR,13-10-2014 22:09
77,CHEM01            006001         X,SC000899,103,Chemise Twill  Taille XL  Coloris Blanc,46.88,EUR,17-07-2013 06:30
78,CHEM01            006003         X,SC000899,103,Chemise Twill  Taille XL  Coloris Noir,46.88,EUR,24-01-2013 13:27
79,CHEM01            006005         X,SC000899,103,Chemise Twill  Taille XL  Coloris Bleu ciel,46.88,EUR,14-03-2007 02:53
80,J0222G                           X,SC000894,1,Bracelet 2 Ors,1282.11,EUR,25-04-2016 09:29
82,ML1212            003006         X,SC000894,1,Polo Homme  Taille 3  Coloris Semoule,60.52,EUR,15-06-2014 03:03
83,ML1212            003007         X,SC000894,1,Polo Homme  Taille 3  Coloris Acidul??,60.52,EUR,11-03-2008 03:30
84,ML1212            004006         X,SC000894,1,Polo Homme  Taille 4  Coloris Semoule,121.04,EUR,21-12-2014 17:30
85,ML1212            004007         X,SC000894,1,Polo Homme  Taille 4  Coloris Acidul??,121.04,EUR,21-04-2012 17:29
86,ML1212            005006         X,SC000894,1,Polo Homme  Taille 5  Coloris Semoule,181.55,EUR,19-11-2014 06:45
87,ML1212            005007         X,SC000894,1,Polo Homme  Taille 5  Coloris Acidul??,181.55,EUR,21-03-2016 07:19
88,ML1212            007006         X,SC000894,1,Polo Homme  Taille 6  Coloris Semoule,121.04,EUR,23-01-2017 03:54
89,ML1212            007007         X,SC000894,1,Polo Homme  Taille 6  Coloris Acidul??,121.04,EUR,03-12-2016 15:27
90,ML1212            008006         X,SC000894,1,Polo Homme  Taille 7  Coloris Semoule,60.52,EUR,15-02-2015 21:35
91,ML1212            008007         X,SC000894,1,Polo Homme  Taille 7  Coloris Acidul??,60.52,EUR,10-02-2016 18:07
92,ML1212            009006         X,SC000894,1,Polo Homme  Taille 8  Coloris Semoule,60.52,EUR,17-07-2012 04:23
93,ML1212            009007         X,SC000894,1,Polo Homme  Taille 8  Coloris Acidul??,60.52,EUR,05-02-2012 02:54
95,MC9112            005003         X,SC000104,1,Mocassins Cuir  Pointure 39  Coloris Noir,238,EUR,16-04-2014 23:00
96,MC9112            00500F         X,SC000104,1,Mocassins Cuir  Pointure 39  Coloris Marron,119,EUR,22-10-2017 21:30
97,MC9112            006003         X,SC000104,1,Mocassins Cuir  Pointure 40  Coloris Noir,357,EUR,12-01-2007 05:26
98,MC9112            007003         X,SC000104,1,Mocassins Cuir  Pointure 41  Coloris Noir,357,EUR,16-12-2018 01:16
99,MC9112            008003         X,SC000104,1,Mocassins Cuir  Pointure 42  Coloris Noir,357,EUR,04-10-2007 11:46
100,MC9112            009003         X,SC000104,1,Mocassins Cuir  Pointure 43  Coloris Noir,238,EUR,16-07-2013 08:28
102,CHEM01            003001         X,SC000897,1,Chemise Twill  Taille S  Coloris Blanc,454.48,EUR,02-01-2012 09:42
103,CHEM01            003003         X,SC000897,1,Chemise Twill  Taille S  Coloris Noir,191.36,EUR,16-04-2014 10:18
104,CHEM01            003005         X,SC000897,1,Chemise Twill  Taille S  Coloris Bleu ciel,406.64,EUR,18-05-2018 19:22
105,CHEM01            004001         X,SC000897,1,Chemise Twill  Taille M  Coloris Blanc,908.96,EUR,28-03-2018 00:49
106,CHEM01            004003         X,SC000897,1,Chemise Twill  Taille M  Coloris Noir,574.08,EUR,01-03-2020 22:29
107,CHEM01            004005         X,SC000897,1,Chemise Twill  Taille M  Coloris Bleu ciel,908.96,EUR,17-07-2012 14:02
108,CHEM01            005001         X,SC000897,1,Chemise Twill  Taille L  Coloris Blanc,908.96,EUR,08-09-2018 19:03
109,CHEM01            005003         X,SC000897,1,Chemise Twill  Taille L  Coloris Noir,598,EUR,10-08-2009 09:44
110,CHEM01            005005         X,SC000897,1,Chemise Twill  Taille L  Coloris Bleu ciel,956.8,EUR,30-10-2019 14:38
111,CHEM01            006001         X,SC000897,1,Chemise Twill  Taille XL  Coloris Blanc,693.68,EUR,03-08-2012 01:25
112,CHEM01            006003         X,SC000897,1,Chemise Twill  Taille XL  Coloris Noir,191.36,EUR,16-07-2017 12:41
113,CHEM01            006005         X,SC000897,1,Chemise Twill  Taille XL  Coloris Bleu ciel,693.68,EUR,12-12-2018 05:12
115,CHEM01            003001         X,SC000896,105,Chemise Twill  Taille S  Coloris Blanc,46.87,EUR,13-02-2015 09:06
116,CHEM01            003003         X,SC000896,105,Chemise Twill  Taille S  Coloris Noir,46.87,EUR,29-03-2019 20:10
117,CHEM01            003005         X,SC000896,105,Chemise Twill  Taille S  Coloris Bleu ciel,46.87,EUR,08-08-2007 17:05
118,CHEM01            004001         X,SC000896,105,Chemise Twill  Taille M  Coloris Blanc,46.87,EUR,30-10-2019 21:05
119,CHEM01            004003         X,SC000896,105,Chemise Twill  Taille M  Coloris Noir,46.87,EUR,12-10-2016 04:48
120,CHEM01            004005         X,SC000896,105,Chemise Twill  Taille M  Coloris Bleu ciel,46.87,EUR,23-05-2011 10:32
121,CHEM01            005001         X,SC000896,105,Chemise Twill  Taille L  Coloris Blanc,46.87,EUR,26-09-2016 04:06
122,CHEM01            005003         X,SC000896,105,Chemise Twill  Taille L  Coloris Noir,46.87,EUR,19-02-2011 03:45
123,CHEM01            005005         X,SC000896,105,Chemise Twill  Taille L  Coloris Bleu ciel,46.87,EUR,09-04-2009 15:43
124,CHEM01            006001         X,SC000896,105,Chemise Twill  Taille XL  Coloris Blanc,46.87,EUR,20-06-2017 03:12
125,CHEM01            006003         X,SC000896,105,Chemise Twill  Taille XL  Coloris Noir,46.87,EUR,05-04-2009 08:28
126,CHEM01            006005         X,SC000896,105,Chemise Twill  Taille XL  Coloris Bleu ciel,46.87,EUR,02-11-2017 02:51
128,CHEM01            003001         X,SC000907,106,Chemise Twill  Taille S  Coloris Blanc,39.91,EUR,09-03-2016 18:36
129,CHEM01            003003         X,SC000907,106,Chemise Twill  Taille S  Coloris Noir,39.91,EUR,09-04-2008 02:00
130,CHEM01            003005         X,SC000907,106,Chemise Twill  Taille S  Coloris Bleu ciel,39.91,EUR,09-08-2015 00:09
131,CHEM01            004001         X,SC000907,106,Chemise Twill  Taille M  Coloris Blanc,39.91,EUR,02-03-2008 10:50
132,CHEM01            004003         X,SC000907,106,Chemise Twill  Taille M  Coloris Noir,39.91,EUR,30-03-2019 11:06
133,CHEM01            004005         X,SC000907,106,Chemise Twill  Taille M  Coloris Bleu ciel,39.91,EUR,30-10-2010 20:30
134,CHEM01            005001         X,SC000907,106,Chemise Twill  Taille L  Coloris Blanc,39.91,EUR,04-04-2013 11:13
135,CHEM01            005003         X,SC000907,106,Chemise Twill  Taille L  Coloris Noir,39.91,EUR,30-08-2017 16:46
136,CHEM01            005005         X,SC000907,106,Chemise Twill  Taille L  Coloris Bleu ciel,39.91,EUR,10-10-2011 20:27
137,CHEM01            006001         X,SC000907,106,Chemise Twill  Taille XL  Coloris Blanc,39.91,EUR,05-01-2019 09:54
138,CHEM01            006003         X,SC000907,106,Chemise Twill  Taille XL  Coloris Noir,39.91,EUR,22-02-2019 06:39
139,CHEM01            006005         X,SC000907,106,Chemise Twill  Taille XL  Coloris Bleu ciel,39.91,EUR,02-05-2009 21:31
141,C19331            003            X,SC000894,1,L'Eau Senta Vaporisateur  Contenance 050 ml,34.99,EUR,08-04-2009 08:45
142,C23323                           X,SC000898,1,Lait Corporel Hydratant 250 ml,9568,EUR,20-10-2015 21:10
144,HB4B54            001001         X,SC000898,1,Serviette de Toilette Blason  Taille TU  Coloris Blanc,1612.21,EUR,29-09-2009 15:51
145,HB4B54            001004         X,SC000898,1,Serviette de Toilette Blason  Taille TU  Coloris Marine,1612.21,EUR,22-05-2008 22:34
146,HB4B54            00100M         X,SC000898,1,Serviette de Toilette Blason  Taille TU  Coloris Bordeaux,1612.21,EUR,12-01-2008 03:11
148,CHEM01            003001         X,SC000107,1,Chemise Twill  Taille S  Coloris Blanc,2842,EUR,17-07-2014 16:42
149,CHEM01            003003         X,SC000107,1,Chemise Twill  Taille S  Coloris Noir,2842,EUR,13-01-2017 21:45
150,CHEM01            003005         X,SC000107,1,Chemise Twill  Taille S  Coloris Bleu ciel,2842,EUR,03-09-2017 09:35
151,CHEM01            004001         X,SC000107,1,Chemise Twill  Taille M  Coloris Blanc,2842,EUR,14-10-2010 18:02
152,CHEM01            004003         X,SC000107,1,Chemise Twill  Taille M  Coloris Noir,2695,EUR,22-08-2016 12:22
153,CHEM01            004005         X,SC000107,1,Chemise Twill  Taille M  Coloris Bleu ciel,2401,EUR,27-07-2015 08:22
154,CHEM01            005001         X,SC000107,1,Chemise Twill  Taille L  Coloris Blanc,2842,EUR,01-09-2008 00:45
155,CHEM01            005003         X,SC000107,1,Chemise Twill  Taille L  Coloris Noir,2842,EUR,06-08-2016 04:01
156,CHEM01            005005         X,SC000107,1,Chemise Twill  Taille L  Coloris Bleu ciel,2793,EUR,17-08-2010 21:29
157,CHEM01            006001         X,SC000107,1,Chemise Twill  Taille XL  Coloris Blanc,2842,EUR,11-06-2019 15:48
158,CHEM01            006003         X,SC000107,1,Chemise Twill  Taille XL  Coloris Noir,2842,EUR,21-07-2018 05:13
159,CHEM01            006005         X,SC000107,1,Chemise Twill  Taille XL  Coloris Bleu ciel,2842,EUR,03-01-2015 22:00
161,ML1812            002001         X,SC000898,1,Polo Enfant  Taille 04 ans  Couleur Blanc,1894.46,EUR,14-02-2010 23:17
162,ML1812            002007         X,SC000898,1,Polo Enfant  Taille 04 ans  Couleur Acidul??,1894.46,EUR,19-11-2015 09:42
163,ML1812            002009         X,SC000898,1,Polo Enfant  Taille 04 ans  Couleur Dahlia,1894.46,EUR,05-03-2015 19:36
164,ML1812            00200C         X,SC000898,1,Polo Enfant  Taille 04 ans  Couleur Chartreuse,1894.46,EUR,12-02-2018 10:21
165,ML1812            00200S         X,SC000898,1,Polo Enfant  Taille 04 ans  Couleur Tomate,1894.46,EUR,25-02-2016 15:04
166,ML1812            004001         X,SC000898,1,Polo Enfant  Taille 06 ans  Couleur Blanc,1894.46,EUR,24-07-2018 13:26
167,ML1812            004007         X,SC000898,1,Polo Enfant  Taille 06 ans  Couleur Acidul??,1894.46,EUR,10-08-2013 03:08
168,ML1812            004009         X,SC000898,1,Polo Enfant  Taille 06 ans  Couleur Dahlia,1894.46,EUR,10-05-2010 01:43
169,ML1812            00400C         X,SC000898,1,Polo Enfant  Taille 06 ans  Couleur Chartreuse,1894.46,EUR,30-11-2014 08:13
170,ML1812            00400S         X,SC000898,1,Polo Enfant  Taille 06 ans  Couleur Tomate,1894.46,EUR,03-01-2007 02:04
171,ML1812            005001         X,SC000898,1,Polo Enfant  Taille 08 ans  Couleur Blanc,1894.46,EUR,08-01-2019 15:09
172,ML1812            005007         X,SC000898,1,Polo Enfant  Taille 08 ans  Couleur Acidul??,1894.46,EUR,24-08-2019 10:07
173,ML1812            005009         X,SC000898,1,Polo Enfant  Taille 08 ans  Couleur Dahlia,1894.46,EUR,18-08-2013 08:24
174,ML1812            00500C         X,SC000898,1,Polo Enfant  Taille 08 ans  Couleur Chartreuse,1894.46,EUR,09-12-2016 17:13
175,ML1812            00500S         X,SC000898,1,Polo Enfant  Taille 08 ans  Couleur Tomate,1894.46,EUR,16-05-2016 03:36
176,ML1812            006001         X,SC000898,1,Polo Enfant  Taille 10 ans  Couleur Blanc,1894.46,EUR,12-09-2011 17:54
177,ML1812            006007         X,SC000898,1,Polo Enfant  Taille 10 ans  Couleur Acidul??,1894.46,EUR,11-10-2011 18:04
178,ML1812            006009         X,SC000898,1,Polo Enfant  Taille 10 ans  Couleur Dahlia,1894.46,EUR,19-11-2014 02:44
179,ML1812            00600C         X,SC000898,1,Polo Enfant  Taille 10 ans  Couleur Chartreuse,1894.46,EUR,15-01-2011 04:07
180,ML1812            00600S         X,SC000898,1,Polo Enfant  Taille 10 ans  Couleur Tomate,1894.46,EUR,18-05-2013 15:16
181,ML1812            007001         X,SC000898,1,Polo Enfant  Taille 12 ans  Couleur Blanc,1894.46,EUR,12-10-2010 08:28
182,ML1812            007007         X,SC000898,1,Polo Enfant  Taille 12 ans  Couleur Acidul??,1894.46,EUR,20-09-2017 03:39
183,ML1812            007009         X,SC000898,1,Polo Enfant  Taille 12 ans  Couleur Dahlia,1894.46,EUR,29-01-2011 14:35
184,ML1812            00700C         X,SC000898,1,Polo Enfant  Taille 12 ans  Couleur Chartreuse,1894.46,EUR,20-10-2011 10:46
185,ML1812            00700S         X,SC000898,1,Polo Enfant  Taille 12 ans  Couleur Tomate,1894.46,EUR,04-07-2018 22:05
186,ML1812            008001         X,SC000898,1,Polo Enfant  Taille 14 ans  Couleur Blanc,1894.46,EUR,20-01-2011 12:22
187,ML1812            008007         X,SC000898,1,Polo Enfant  Taille 14 ans  Couleur Acidul??,1894.46,EUR,28-12-2012 17:43
188,ML1812            008009         X,SC000898,1,Polo Enfant  Taille 14 ans  Couleur Dahlia,1894.46,EUR,17-11-2008 01:45
189,ML1812            00800C         X,SC000898,1,Polo Enfant  Taille 14 ans  Couleur Chartreuse,1894.46,EUR,17-02-2010 13:14
190,ML1812            00800S         X,SC000898,1,Polo Enfant  Taille 14 ans  Couleur Tomate,1894.46,EUR,01-04-2007 05:08
191,ML1812            009001         X,SC000898,1,Polo Enfant  Taille 16 ans  Couleur Blanc,1894.46,EUR,07-09-2012 21:39
192,ML1812            009007         X,SC000898,1,Polo Enfant  Taille 16 ans  Couleur Acidul??,1894.46,EUR,14-07-2014 08:55
193,ML1812            009009         X,SC000898,1,Polo Enfant  Taille 16 ans  Couleur Dahlia,1894.46,EUR,12-05-2013 17:12
194,ML1812            00900C         X,SC000898,1,Polo Enfant  Taille 16 ans  Couleur Chartreuse,1894.46,EUR,21-01-2016 02:18
195,ML1812            00900S         X,SC000898,1,Polo Enfant  Taille 16 ans  Couleur Tomate,1894.46,EUR,10-12-2019 05:43
198,501122            003005         X,SC000105,999,Tunique boutonn??e  Taille 36  Couleur 777A07,14.99,EUR,30-06-2017 14:58
200,FR-CDC-LEUCO      003003         X,SC000105,999,Short court  Taille 36  Couleur Noir,110,EUR,06-10-2010 14:17
203,501122            003006         X,SC000105,999,Tunique boutonn??e  Taille 36  Couleur 823A08,14.99,EUR,19-01-2009 21:33
206,FR-CDC-LEUCO      00400Y         X,SC000104,999,Short court  Taille 38  Couleur Noisette,110,EUR,20-02-2008 21:00
209,FR-CDC-LEUCO      003003         X,SC000105,999,Short court  Taille 36  Couleur Noir,110,EUR,05-08-2014 05:54
211,C19331            003            X,SC000037,101,L'Eau Senta Vaporisateur  Contenance 050 ml,586.04,EUR,15-04-2011 15:49
212,C19331            006            X,SC000037,101,L'Eau Senta Vaporisateur  Contenance 100 ml,1841.84,EUR,17-04-2019 09:49
213,C29331                           X,SC000037,101,Savon Senta 200 g,179.4,EUR,18-10-2019 19:45
216,M44STR1           003003         X,SC000007,1,Jupe Droite  Taille 36  Coloris Noir,1033.344,EUR,25-12-2011 14:39
217,M44STR1           003004         X,SC000007,1,Jupe Droite  Taille 36  Coloris Marine,1033.344,EUR,04-04-2014 13:15
218,M44STR1           00300P         X,SC000007,1,Jupe Droite  Taille 36  Coloris Indigo,990.288,EUR,23-02-2019 12:26
219,M44STR1           00300Q         X,SC000007,1,Jupe Droite  Taille 36  Coloris Taupe,904.176,EUR,09-06-2012 06:05
220,M44STR1           004003         X,SC000007,1,Jupe Droite  Taille 38  Coloris Noir,904.176,EUR,22-08-2012 12:57
221,M44STR1           004004         X,SC000007,1,Jupe Droite  Taille 38  Coloris Marine,904.176,EUR,08-09-2014 05:55
222,M44STR1           00400P         X,SC000007,1,Jupe Droite  Taille 38  Coloris Indigo,904.176,EUR,03-08-2015 15:19
223,M44STR1           00400Q         X,SC000007,1,Jupe Droite  Taille 38  Coloris Taupe,904.176,EUR,16-03-2020 12:59
224,M44STR1           005003         X,SC000007,1,Jupe Droite  Taille 40  Coloris Noir,904.176,EUR,15-04-2011 14:50
225,M44STR1           005004         X,SC000007,1,Jupe Droite  Taille 40  Coloris Marine,904.176,EUR,12-01-2010 11:53
226,M44STR1           00500P         X,SC000007,1,Jupe Droite  Taille 40  Coloris Indigo,904.176,EUR,02-08-2014 07:17
227,M44STR1           00500Q         X,SC000007,1,Jupe Droite  Taille 40  Coloris Taupe,904.176,EUR,25-11-2009 19:12
228,M44STR1           006003         X,SC000007,1,Jupe Droite  Taille 42  Coloris Noir,904.176,EUR,03-12-2018 13:53
229,M44STR1           006004         X,SC000007,1,Jupe Droite  Taille 42  Coloris Marine,904.176,EUR,10-12-2007 14:54
230,M44STR1           00600P         X,SC000007,1,Jupe Droite  Taille 42  Coloris Indigo,904.176,EUR,16-06-2015 04:37
231,M44STR1           00600Q         X,SC000007,1,Jupe Droite  Taille 42  Coloris Taupe,904.176,EUR,24-09-2012 02:01
232,M44STR1           007003         X,SC000007,1,Jupe Droite  Taille 44  Coloris Noir,904.176,EUR,22-01-2008 14:04
233,M44STR1           007004         X,SC000007,1,Jupe Droite  Taille 44  Coloris Marine,904.176,EUR,04-01-2020 05:24
234,M44STR1           00700P         X,SC000007,1,Jupe Droite  Taille 44  Coloris Indigo,904.176,EUR,24-04-2015 03:33
235,M44STR1           00700Q         X,SC000007,1,Jupe Droite  Taille 44  Coloris Taupe,904.176,EUR,13-07-2011 01:47
238,M98SG6            001001   001   X,SC000013,1,Soutien Gorge L??a  Taille 080  Coloris Blanc  Bonnet A,1484.4752,EUR,06-05-2008 19:42
239,M98SG6            001001   002   X,SC000013,1,Soutien Gorge L??a  Taille 080  Coloris Blanc  Bonnet B,1484.4752,EUR,07-01-2012 00:00
240,M98SG6            001001   003   X,SC000013,1,Soutien Gorge L??a  Taille 080  Coloris Blanc  Bonnet C,1433.2864,EUR,26-07-2019 00:19
241,M98SG6            001003   001   X,SC000013,1,Soutien Gorge L??a  Taille 080  Coloris Noir  Bonnet A,1433.2864,EUR,08-07-2014 11:40
242,M98SG6            001003   002   X,SC000013,1,Soutien Gorge L??a  Taille 080  Coloris Noir  Bonnet B,1382.0976,EUR,02-06-2010 21:17
243,M98SG6            001003   003   X,SC000013,1,Soutien Gorge L??a  Taille 080  Coloris Noir  Bonnet C,1382.0976,EUR,19-01-2018 19:35
244,M98SG6            002001   002   X,SC000013,1,Soutien Gorge L??a  Taille 085  Coloris Blanc  Bonnet B,1382.0976,EUR,15-06-2011 21:08
245,M98SG6            002001   003   X,SC000013,1,Soutien Gorge L??a  Taille 085  Coloris Blanc  Bonnet C,1382.0976,EUR,08-05-2008 23:38
246,M98SG6            002001   004   X,SC000013,1,Soutien Gorge L??a  Taille 085  Coloris Blanc  Bonnet D,1382.0976,EUR,19-09-2010 18:22
247,M98SG6            002003   002   X,SC000013,1,Soutien Gorge L??a  Taille 085  Coloris Noir  Bonnet B,1382.0976,EUR,13-06-2012 22:54
248,M98SG6            002003   003   X,SC000013,1,Soutien Gorge L??a  Taille 085  Coloris Noir  Bonnet C,1382.0976,EUR,24-01-2007 15:16
249,M98SG6            002003   004   X,SC000013,1,Soutien Gorge L??a  Taille 085  Coloris Noir  Bonnet D,1382.0976,EUR,17-12-2016 12:39
250,M98SG6            003001   002   X,SC000013,1,Soutien Gorge L??a  Taille 090  Coloris Blanc  Bonnet B,1382.0976,EUR,12-03-2018 00:29
251,M98SG6            003001   003   X,SC000013,1,Soutien Gorge L??a  Taille 090  Coloris Blanc  Bonnet C,1330.9088,EUR,07-05-2007 00:44
252,M98SG6            003001   004   X,SC000013,1,Soutien Gorge L??a  Taille 090  Coloris Blanc  Bonnet D,1330.9088,EUR,26-10-2017 05:50
253,M98SG6            003003   002   X,SC000013,1,Soutien Gorge L??a  Taille 090  Coloris Noir  Bonnet B,1330.9088,EUR,16-04-2012 22:47
254,M98SG6            003003   003   X,SC000013,1,Soutien Gorge L??a  Taille 090  Coloris Noir  Bonnet C,1330.9088,EUR,11-08-2010 17:13
255,M98SG6            003003   004   X,SC000013,1,Soutien Gorge L??a  Taille 090  Coloris Noir  Bonnet D,1330.9088,EUR,26-09-2018 02:47
256,M98SG6            004001   002   X,SC000013,1,Soutien Gorge L??a  Taille 095  Coloris Blanc  Bonnet B,1330.9088,EUR,16-10-2008 18:42
257,M98SG6            004001   003   X,SC000013,1,Soutien Gorge L??a  Taille 095  Coloris Blanc  Bonnet C,1330.9088,EUR,29-06-2019 02:57
